Nombre	1 - Tarifa General
Examen Embarazo En Orina	200
Examen Embarazo En Suero	200
Grupo Sanguineo	70
Sangre oculta en heces	150
RPR / VDRL	60
Examen De Heces	90
Exámen por Enterobius (Graham)	250
Insulina 30 Minutos	900
Insulina 1 Hora	900
Insulina 2 Horas	900
Insulina 3 Horas	5500
Hormona Gonadotropina Coriónica (Beta-HCG)	1250
Vitamina D	1700
Testosterona Libre	1700
Deshidrogenasa Glucosa 6 Fosfato	1300
Dimero D	850
Drepanocitos	250
Recuento de eosinofilos	100
Eritrosedimentacion (VES)	100
Fragilidad Capilar	350
Fragilidad Osmotica Eritrocitos	400
Frotis de Sangre Periferica (FSP)	150
Plaquetas Recuento	180
Proteína C	1500
Proteina S	1800
Reticulocitos (%)	150
Fibrinógeno	750
Retraccion Del Coagulo	250
Tiempo De Coagulacion	250
Tiempo De Sangrado	250
Tiempo De Protrombina (Seg)	250
Tiempo de Tromboplastina Parcial (TPT)	250
Antitrombina III	1600
Ácido Fólico	1500
Ácido Úrico serico	180
Ácido Valproico en sangre	1300
Alfa Fetoproteína (AFP)	1000
Amilasa en suero	250
Beta Carotenos	650
Bilirrubina Conjugada	180
Bilirrubina Directa	180
Calcio en sangre	200
Carbamazepina (Tegretol)	900
Colesterol Hdl	180
Colesterol Ldl	180
Colesterol Total	180
Colinesterasa	850
Cortisol A.M.	800
Cortisol P.M.	800
Creatinina en sangre	180
Creatina Quinasa Total (CPK)	300
Deshidrogenasa Acido Lactica (Ldh)	325
Digoxina	1350
Estradiol	1250
Fenobarbital	875
Ferritina	750
Fosfatasa Acida Prostatica	350
Fosfatasa Acida Total	350
Fosfatasa Alcalina	180
Fosforo (P+) en suero 	200
Glucosa 2HPP - 2 horas postprandial	250
Glucosa Ayuno en sangre	180
Gonadotropina Coriónica Humana	750
Hierro	500
Captacion de fijacion de hierro (TIBC)	400
Hormona De Crecimiento	2000
Lh	900
Fsh (Hormona Foliculo Estimulante)	900
Lipasa	800
Lipidos Totales	350
Litio	1000
Magnesio en sangre	200
Microglobulina Beta-2	1500
Nitrógeno Ureico en la sangre (Bun)	180
Potasio en sangre	200
Progesterona	1300
Prolactina	1200
Albúmina	180
Sodio (NA+) en Suero	220
T3 (Triyodotironina)	550
T4 (Tiroxina)	550
Teofilina	750
Testosterona Total	1250
Tiroglobulina	1700
Trigliceridos	180
Creatina Quinasa Mb (Mb-Cpk)	350
TSH (Hormona Estimulante de Tiroides)	550
Vitamina B-12	1500
Apolipoproteina A1	1500
Apolipoproteina B	1500
Paratohormona (Pth)	2000
Cloruro (Cl-) en sangre	200
Insulina	900
Panel De Alimentos	2500
Panel de Alergia a Inhalantes	2500
"Hormona Adrenocorticotropica (ACTH)	"	2100
T3 Libre	1000
Anticuerpos Anti Adn	1000
Anticuerpos Anticardiolipinas IgM	900
Anticuerpos Anti Ena	1500
Anticuerpos Antiglobulina: Ig (Ra Test)	250
Anticuerpos Mycoplasma IgM	1200
Anticuerpos Anti Musculo Liso	1500
Anticuerpos Anti Plaquetas	0
Anticuerpos Anti Ro/SSA	1250
Anticuerpos Anti Sm	1600
Anticuerpos Citomegalovirus IgG	1000
Anticuerpos Citomegalovirus IgM	1000
Anticuerpos Dengue IgM	400
Anticuerpos Epstein barr IgG	1000
Anticuerpos Epstein barr IgM	1000
Anticuerpos Estreptolisina O (ASO)	200
Anticuerpos Hepatitis B (Anti-HBs)	1500
Anticuerpos Hepatitis B (Anti-Hbc)	1500
Anticuerpos Hepatitis C	400
Anticuerpos Herpes simple Tipo 1 IgG	950
Anticuerpos Herpes simple Tipo 1 IgM	950
Anticuerpos Herpes simple Tipo 2 IgG	950
Anticuerpos Herpes simple Tipo 2 IgM	950
Western Blot Para VIH	3500
Anticuerpos Mononucleosis (Monotest)	500
Anticuerpos Rubeola IgG	1000
Anticuerpos Rubeola IgM	1000
Anticuerpos Trypanosoma cruzi (Chagas)	500
Anticuerpos Toxoplasma IgG	500
Anticuerpos Toxoplasma IgM	500
Antigenos Febriles (Anticuerpos Salmonella)	350
Antigeno Hepatitis B (Hbsag)	400
Celulas L.E	350
Complemento Sérico C3	950
Complemento Sérico C4	950
Conteo De Linfocitos Cd4+	1300
Conteo De Linfocitos Cd8+	1300
Inmunoglobulina A	750
Inmunoglobulina G	750
Inmunoglobulina M	750
Inmunoglobulina E (IgE)	750
Marcador Tumoral Ca-125	1050
Marcador Tumoral Ca-15-3	1050
Marcador Tumoral Ca 19-9	1050
Antígeno Prostático Especifico Total (PSA Total)	650
Antígeno Prostático Libre (PSA Libre)	920
Proteina C Reactiva	200
Proteina C-Reactiva Ultrasensible	1200
Prueba Coombs Directo	350
Prueba Indirecta De Coombs	350
Dehidroepiandrosterona Sulfato (DHEA-S)	1500
17 Oh Progesterona	1800
Anticuerpos Varicela IgG	900
Anticuerpos Varicela IgM	900
Anticuerpos Mitocondriales (Ama)	1200
Anticuerpos Ada	1000
Anticuerpos Sarampion Igg	1300
Anticuerpos Sarampion Igm	1300
Anticuerpos Cisticercosis En Lcr	1100
Anticuerpo Chikungunya IgM	850
Citoquímica Líquido Pleural	1000
Eosinofilos Moco Nasal	300
Coloración De Ziehl-Neelsen	175
Citoquímica Líquido Cefaloraquideo	1000
Citoquimica Liquido Sinovial-Articular	1000
Cultivo Bacterias Secreción Vaginal	600
Cultivo Por Hongos	700
Cultivo Líquido Cefalorraquideo	700
Cultivo Secreción Herida	600
Cultivo Secreción Espermática	700
Examen De Koh	250
Exámen por Plasmodium (Malaria)	275
Hemocultivo	650
Urocultivo	700
Coloración Wright	100
Coloración Tricrómica Heces	350
Sudan III en Heces	150
Anfetaminas en orina AMP	350
Benzodiazepinas en orina BZU	350
Calcio En Orina	250
Creatinina En Orina 24 horas	300
Depuración De Creatinina en orina	850
Etanol	350
Fosforo En Orina casual	350
Magnesio En Orina	300
Microalbumina	250
Nicotina en orina	350
Porfobilinogeno	375
Potasio En Orina	200
Proteínas Totales en Orina 24 horas	375
Sodio En Orina	250
Chlamydia En Orina	350
Cocaina en orina COC	350
Examen De Orina	90
Hemograma Completo	225
Tiempo De Protrombina (TP)	250
Glucosa Tolerancia Oral (3h)	950
Proteínas Totales & Relación A/G	360
Proteinas	180
Fehling	200
Toxina por Clostridium difficile	850
Anticuerpos Fosfolípidos IgG	1300
Anticuerpos Fosfolípidos IgM	1300
Pro BNP	2200
Anticuerpos Hepatitis A IgM	400
Anticuerpos Antineutrofilos ANCA P	1500
Anticuerpos Antineutrófilos Anca C	1500
Anticuerpos Mycoplasma IgG	1200
Androstenediona	2350
Anti CCP	1300
Anticuerpos Anti La/ SSB	1250
Anticuerpos Anticardiolipinas IgG	900
Anticuerpos Antigliadinas IgA	1500
Anticuerpos Antigliadinas IgG	1500
Anticuerpos Cisticercosis IgG	950
Anticuerpos Contra Brucella	350
Anticuerpos Dengue IgG	400
Clostridium difficile	900
Cultivo Uretral	600
Electroforesis de Hemoglobina	2000
Electroforesis de Proteína	2000
GGT	180
Antigeno de Helicobacter Pylori en Heces	572
Anticuerpos Helicobacter Pylori en suero (Cualitativo)	475
Anticuerpos VIH 1 & 2 (Ac. HIV 1 & 2)	350
Hormona Luteinizante LH	700
Opiaceos en Orina OPI	350
Anticuerpos Paperas IgG	1500
Anticuerpos Paperas IgM	1600
Procalcitonina	850
TGO	200
TGP	200
Urea en suero	180
Coprocultivo	600
Coloración Gram	100
Proteínas	180
Antígenos febriles	350
ITL - Indice de Tiroxina Libre	600
Urocultivo - Examen en fresco - Células Epiteliales	600
Cultivo	700
Anticuerpos Dengue (IgG/IgM)	400
Anticuerpos Antitiroideos (Antiperoxidasa y Antitiroglobulina)	1850
PH en Heces	150
Cultivo por bacterias	600
Glicohemoglobina A1C	650
Espermograma	575
WEINER - PROTEINAS TOTALES	180
Fenciclidina en orina PCP	350
Spinreact - Cloruro	250
Peptido C	1500
Anticuerpos Treponema (FTA-ABS)	700
Anticuerpos Anti Scl-70	1600
Troponina	700
Anticoagulante Lúpico	1250
Cargo Por Domicilio	120
Exudado Faringeo	600
Amonio Sérico	950
Creatinina En Orina	200
Proteínas Totales En Orina casual	100
Anticuerpos Anti Nucleares - ANA por Inmunofluorescencia	1100
Antígeno Carcinoembrionario (CEA)	900
Urea en orina	180
Marihuana en Orina THC	350
